tiles-per-row 18
tiles-per-col 14
tile-width 16
tile-height 16

types Actor,World,Device,Gui,Usable,Equipment,Symbol

male-default type=Actor
female-default type=Actor
male-archer type=Actor
female-archer type=Actor
male-warrior type=Actor
female-warrior type=Actor
male-cleric type=Actor
female-cleric type=Actor
male-thief type=Actor
female-thief type=Actor
male-mage-wand type=Actor
female-mage-wand type=Actor
male-mage-staff type=Actor
female-mage-staff type=Actor
king type=Actor
queen type=Actor
male-child type=Actor
female-child type=Actor
male-scream type=Actor
female-scream type=Actor
male-fat type=Actor
female-fat type=Actor
male-ghost type=Actor
female-ghost type=Actor
old-man type=Actor
pirate type=Actor
armored-fighter type=Actor
hooded-man type=Actor
wizard type=Actor
thief type=Actor
mermaid type=Actor
dog type=Actor
cat type=Actor
face-normal type=Gui
face-grin type=Gui
face-smile type=Gui
face-sad type=Gui
face-pain type=Gui
face-mad type=Gui
face-yell type=Gui
face-smirk type=Gui
face-pudgy type=Gui
face-guilty type=Gui
face-pirate type=Gui
face-chill type=Gui
rat type=Actor
bat type=Actor
eel type=Actor
spider type=Actor
scorpion type=Actor
snail type=Actor
snake type=Actor
fox type=Actor
Tiger type=Actor
Bear type=Actor
lizard type=Actor
dragon type=Actor
horse type=Actor
goblin-1 type=Actor
goblin-2 type=Actor
troll-1 type=Actor
troll-2 type=Actor
zombie type=Actor
undead-hand type=Actor
skeleton type=Actor
skeleton-armored type=Actor
reaper type=Actor
ghost type=Actor
floating-skull type=Actor
wraith type=Actor
blob type=Actor
tentacles type=Actor
giant-eye type=Actor
mini-hooded-creature type=Actor
elemental type=Actor
mimic type=Actor
creature type=Actor
giant type=Actor
bricks-1 type=World
bricks-2 type=World
bricks-3 type=World
stones-1 type=World
stones-2 type=World
stones-3 type=World
decor-1 type=World
decor-2 type=World
decor-3 type=World
decor-4 type=World
stairs-down type=World
stairs-up type=World
door-closed type=World
door-open type=World
fireplace type=World
fountain type=World
gravestone type=World
sign type=World
stool type=World
desk type=World
bookcase type=World
table type=World
bed type=World
wall-1 type=World
wall-2 type=World
wall-3 type=World
wall-4 type=World
wall-5 type=World
wall-6 type=World
wall-7 type=World
wall-8 type=World
wall-9 type=World
wall-10 type=World
wall-11 type=World
wall-12 type=World
pithole-inactive type=Device
pithole-active type=Device
bear-trap-inactive type=Device
bear-trap-active type=Device
spikes-inactive type=Device
spikes-active type=Device
hole-inactive type=Device
hole-active type=Device
floor-button-inactive type=Device
floor-button-active type=Device
switch-inactive type=World
switch-active type=World
grass type=World
pebbles type=World
plant type=World
tree-normal type=World
tree-pine type=World
tree-dead type=World
water type=World
rock-formation type=World
cave type=World
house type=World
castle type=World
cart type=World
boat type=World
torch type=Usable
lantern type=World
shovel type=Usable
pickaxe type=Usable
rope type=Usable
bomb type=Usable
chest-closed type=World
chest-open type=World
jar-normal type=World
jar-broken type=World
key-normal type=Usable
key-special type=Usable
loot-bag type=Usable
gold-pile type=Usable
rock type=Equipment
gem-hexagon type=Usable
gem-round type=Usable
bones-1 type=World
bones-2 type=World
fossil type=World
bones-3 type=World
chicken-leg type=Usable
steak type=Usable
kebob type=Usable
fish type=Usable
eye type=Usable
bread type=Usable
egg type=Usable
cheese type=Usable
apple type=Usable
pumpkin type=Usable
radish type=Usable
leaf type=Usable
flower type=Usable
mushroom type=Usable
meat type=Usable
cupcake type=Usable
beverage type=Usable
jar-small type=World
vase type=World
potion-small type=Usable
potion-medium type=Usable
potion-large type=Usable
dagger type=Equipment
sword type=Equipment
handaxe type=Equipment
spear type=Equipment
staff type=Equipment
club type=Equipment
warhammer type=Equipment
shield-small type=Equipment
shield-large type=Equipment
bow type=Equipment
arrow-bundle type=Equipment
helmet-light type=Equipment
helmet-heavy type=Equipment
helmet-wizard type=Equipment
gloves type=Equipment
bracers type=Equipment
boots type=Equipment
pants type=Equipment
belt type=Equipment
robe type=Equipment
light-armor type=Equipment
heavy-armor type=Equipment
cloak type=Equipment
ring type=Equipment
necklace type=Equipment
crown type=Equipment
glasses type=Equipment
wand-1 type=Usable
wand-2 type=Usable
wand-3 type=Usable
orb type=Usable
ankh type=Usable
skull type=World
scroll-1 type=Usable
scroll-2 type=Usable
scroll-3 type=Usable
pedistal type=World
cauldron type=World
symbol-magic-1 type=Gui
symbol-magic-2 type=Gui
symbol-magic-3 type=Gui
symbol-magic-4 type=Gui
symbol-magic-5 type=Gui
lute type=Usable
harp type=Usable
multipipe type=Usable
handbell type=Usable
xylophone type=Usable
drum type=Usable
@ type=Symbol
up-arrow type=Symbol
diagonal type=Symbol
plus type=Symbol
X type=Symbol
heart type=Symbol
star type=Symbol
sun type=Symbol
moon type=Symbol
target type=Symbol
caution type=Symbol
music-notes type=Symbol
flames type=Symbol
snow type=Symbol
water-droplet type=Symbol
lightning-bold type=Symbol
swirl type=Symbol
bubbles type=Symbol
zzz type=Symbol
skull-face type=Symbol
crossed-swords type=Symbol
shield type=Symbol
hourglass type=Symbol
